x-axis,1,2,3
second,Volt,Volt,Volt
-36.60000E-03,+94.47236E-03,-7.83919604E+00,+14.84925E-03
-36.55000E-03,+94.47236E-03,-7.83919604E+00,+15.67839E-03
-36.50000E-03,+92.46231E-03,-7.63819101E+00,+16.03015E-03
-36.45000E-03,+92.46231E-03,-7.63819101E+00,+15.10050E-03
-36.40000E-03,+90.45226E-03,-7.43718599E+00,+16.08040E-03
-36.35000E-03,+88.44221E-03,-7.43718599E+00,+14.82412E-03
-36.30000E-03,+90.32663E-03,-7.03517593E+00,+15.27638E-03
-36.25000E-03,+87.31156E-03,-7.13567845E+00,+16.08040E-03
-36.20000E-03,+86.43216E-03,-7.03517593E+00,+15.65327E-03
-36.15000E-03,+84.29648E-03,-6.83417091E+00,+15.25126E-03
-36.10000E-03,+82.28643E-03,-6.63316588E+00,+14.84925E-03
-36.05000E-03,+81.28141E-03,-6.63316588E+00,+15.25126E-03
-36.00000E-03,+80.40201E-03,-6.62060307E+00,+13.66834E-03
-35.95000E-03,+78.39196E-03,-6.23115583E+00,+14.07035E-03
-35.90000E-03,+76.38191E-03,-6.21859301E+00,+15.65327E-03
-35.85000E-03,+73.24121E-03,-5.72864326E+00,+14.27136E-03
-35.80000E-03,+72.36181E-03,-5.61557793E+00,+14.87437E-03
-35.75000E-03,+69.22110E-03,-5.42713572E+00,+15.42714E-03
-35.70000E-03,+66.33166E-03,-5.02512567E+00,+13.66834E-03
-35.65000E-03,+63.31658E-03,-5.02512567E+00,+15.07538E-03
-35.60000E-03,+60.30151E-03,-4.62311561E+00,+14.47236E-03
-35.55000E-03,+58.29146E-03,-4.51005029E+00,+14.44724E-03
-35.50000E-03,+56.28141E-03,-4.22110556E+00,+13.69347E-03
-35.45000E-03,+53.26633E-03,-3.81909551E+00,+14.02010E-03
-35.40000E-03,+52.13568E-03,-3.61809048E+00,+14.84925E-03
-35.35000E-03,+47.11055E-03,-3.50502515E+00,+14.87437E-03
-35.30000E-03,+46.10553E-03,-3.01507540E+00,+14.04523E-03
-35.25000E-03,+41.08040E-03,-2.81407037E+00,+13.26633E-03
-35.20000E-03,+38.19095E-03,-2.60050253E+00,+15.65327E-03
-35.15000E-03,+36.18090E-03,-2.21105529E+00,+15.72864E-03
-35.10000E-03,+34.04523E-03,-1.80904524E+00,+16.43216E-03
-35.05000E-03,+31.03015E-03,-1.60804021E+00,+15.07538E-03
-35.00000E-03,+26.13065E-03,-1.20603016E+00,+14.47236E-03
-34.95000E-03,+24.12060E-03,-1.00502513E+00,+14.47236E-03
-34.90000E-03,+20.10050E-03,-804.02011E-03,+14.07035E-03
-34.85000E-03,+18.09045E-03,-402.01005E-03,+14.69849E-03
-34.80000E-03,+14.07035E-03,-201.00503E-03,+14.84925E-03
-34.75000E-03,+11.93467E-03,+301.50754E-03,+13.46734E-03
-34.70000E-03,+7.91457E-03,+402.01005E-03,+13.24121E-03
-34.65000E-03,+5.02513E-03,+804.02011E-03,+13.44221E-03
-34.60000E-03,+2.01005E-03,+1.20603016E+00,+14.47236E-03
-34.55000E-03,-3.01508E-03,+1.40703519E+00,+14.04523E-03
-34.50000E-03,-2.01005E-03,+1.60804021E+00,+14.07035E-03
-34.45000E-03,-8.04020E-03,+2.01005027E+00,+14.87437E-03
-34.40000E-03,-10.05025E-03,+2.21105529E+00,+16.03015E-03
-34.35000E-03,-14.07035E-03,+2.61306535E+00,+15.47739E-03
-34.30000E-03,-17.96482E-03,+3.01507540E+00,+15.65327E-03
-34.25000E-03,-19.09548E-03,+3.41708545E+00,+14.44724E-03
-34.20000E-03,-24.12060E-03,+3.61809048E+00,+15.25126E-03
-34.15000E-03,-28.14070E-03,+3.91959802E+00,+15.47739E-03
-34.10000E-03,-32.03518E-03,+4.22110556E+00,+14.07035E-03
-34.05000E-03,-34.17085E-03,+4.51005029E+00,+16.13065E-03
-34.00000E-03,-38.06533E-03,+4.82412064E+00,+21.98492E-03
-33.95000E-03,-39.07035E-03,+5.22613069E+00,+14.27136E-03
-33.90000E-03,-42.21105E-03,+5.42713572E+00,+15.62814E-03
-33.85000E-03,-44.22111E-03,+5.82914577E+00,+15.27638E-03
