x-axis,1,2,3
second,Volt,Volt,Volt
-380.5000E-06,+100.7537678E-03,+804.0201068E-03,+108.5427124E-03
-380.0000E-06,+105.7788933E-03,+527.6381951E-03,+107.7889436E-03
-379.5000E-06,+106.1557778E-03,+364.3216109E-03,+109.9246219E-03
-379.0000E-06,+108.5427124E-03,+263.8190975E-03,+106.5326622E-03
-378.5000E-06,+110.1758782E-03,-25.1256283E-03,+108.5427124E-03
-378.0000E-06,+111.8090440E-03,+0.0E+00,+107.1608029E-03
-377.5000E-06,+112.5628129E-03,-402.0100534E-03,+106.5326622E-03
-377.0000E-06,+114.5728631E-03,-665.8291509E-03,+105.1507526E-03
-376.5000E-06,+116.2060289E-03,-804.0201068E-03,+104.1457275E-03
-376.0000E-06,+115.2010038E-03,-1.0050251335E+00,+105.0251245E-03
-375.5000E-06,+116.5829133E-03,-1.2060301602E+00,+100.5025115E-03
-375.0000E-06,+117.2110540E-03,-1.5326633286E+00,+102.5125617E-03
-374.5000E-06,+118.5929636E-03,-1.7713567978E+00,+100.5025115E-03
-374.0000E-06,+118.5929636E-03,-1.6708542844E+00,+97.1105517E-03
-373.5000E-06,+116.8341696E-03,-1.9723618245E+00,+96.7336673E-03
-373.0000E-06,+119.2211043E-03,-2.0100502670E+00,+96.4824110E-03
-372.5000E-06,+120.6030138E-03,-2.4120603204E+00,+94.4723608E-03
-372.0000E-06,+119.2211043E-03,-2.4748743912E+00,+92.4623106E-03
-371.5000E-06,+118.8442198E-03,-2.6381909754E+00,+90.0753759E-03
-371.0000E-06,+119.2211043E-03,-2.8140703738E+00,+88.4422101E-03
-370.5000E-06,+120.2261294E-03,-3.0150754005E+00,+88.0653257E-03
-370.0000E-06,+118.5929636E-03,-3.2160804272E+00,+85.0502503E-03
-369.5000E-06,+120.6030138E-03,-3.2412060555E+00,+82.6633157E-03
-369.0000E-06,+119.2211043E-03,-3.4170854539E+00,+82.4120594E-03
-368.5000E-06,+118.5929636E-03,-3.8190955073E+00,+78.3919590E-03
-368.0000E-06,+118.5929636E-03,-3.9447236490E+00,+74.9999992E-03
-367.5000E-06,+120.2261294E-03,-4.0201005340E+00,+76.3819087E-03
-367.0000E-06,+117.2110540E-03,-4.0829146048E+00,+76.3819087E-03
-366.5000E-06,+114.8241194E-03,-4.3844221449E+00,+70.3517580E-03
-366.0000E-06,+115.8291445E-03,-4.4221105874E+00,+68.3417078E-03
-365.5000E-06,+112.8140691E-03,-4.4221105874E+00,+65.9547732E-03
-365.0000E-06,+112.5628129E-03,-4.8241206408E+00,+62.9396978E-03
-364.5000E-06,+112.5628129E-03,-4.6482412424E+00,+60.3015069E-03
-364.0000E-06,+111.1809033E-03,-4.9497487824E+00,+58.9195974E-03
-363.5000E-06,+108.7939687E-03,-4.8492462691E+00,+55.9045220E-03
-363.0000E-06,+107.7889436E-03,-5.0251256675E+00,+54.2713562E-03
-362.5000E-06,+106.1557778E-03,-5.0879397383E+00,+50.2512557E-03
-362.0000E-06,+103.0150743E-03,-5.2261306942E+00,+48.2412055E-03
-361.5000E-06,+98.7437175E-03,-5.3894472783E+00,+44.2211051E-03
-361.0000E-06,+98.4924613E-03,-5.4899497917E+00,+44.2211051E-03
-360.5000E-06,+96.4824110E-03,-5.4271357208E+00,+40.2010046E-03
-360.0000E-06,+93.0904513E-03,-5.4271357208E+00,+38.1909544E-03
-359.5000E-06,+91.8341699E-03,-5.4522613492E+00,+34.4221102E-03
-359.0000E-06,+89.0703508E-03,-5.6281407475E+00,+33.4170851E-03
-358.5000E-06,+88.0653257E-03,-5.6281407475E+00,+28.1407032E-03
-358.0000E-06,+85.0502503E-03,-5.7537688892E+00,+23.4924621E-03
-357.5000E-06,+80.0251248E-03,-5.6281407475E+00,+22.1105525E-03
-357.0000E-06,+78.3919590E-03,-5.8291457742E+00,+18.0904521E-03
